"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 13 22:33:32 GMT 2024","Sat Jul 13 22:33:32 GMT 2024","49","","POST /todos","","com.bhft.todo.PostTodoTest","shouldNotCreateTodoWithSameId","Should not create todo with same id",""
"passed","Sat Jul 13 22:33:32 GMT 2024","Sat Jul 13 22:33:32 GMT 2024","47","","PUT /todos","","com.bhft.todo.PutTodoTest","shouldReturnErrorForNonExistingId","Should return error for non-existing id",""
"passed","Sat Jul 13 22:33:30 GMT 2024","Sat Jul 13 22:33:31 GMT 2024","669","","DELETE /todos","","com.bhft.todo.DeleteTodoTest","shouldDeleteTodoIfAuthorized","Should delete item if authorized","DELETE should delete an item if authorized"
"passed","Sat Jul 13 22:33:31 GMT 2024","Sat Jul 13 22:33:31 GMT 2024","87","","GET /todos","","com.bhft.todo.GetTodoTest","shouldGetEmptyListIfOffsetGreateThanSize","Should return empty list if offset>size","GET should return no items if offset is greater than list size"
"passed","Sat Jul 13 22:33:32 GMT 2024","Sat Jul 13 22:33:32 GMT 2024","29","","POST /todos","","com.bhft.todo.PostTodoTest","shouldReturnErrorOnMissingId","Should not create todo without id",""
"passed","Sat Jul 13 22:33:32 GMT 2024","Sat Jul 13 22:33:32 GMT 2024","83","","GET /todos","","com.bhft.todo.GetTodoTest","shouldReturnListFromOffset","Should return list from given offset","GET should return only items after specified offset"
"passed","Sat Jul 13 22:33:32 GMT 2024","Sat Jul 13 22:33:32 GMT 2024","91","","GET /todos","","com.bhft.todo.GetTodoTest","shouldGetFullTodoList","Should return full list of items","GET should return all items if offset and limit are not passed"
"passed","Sat Jul 13 22:33:31 GMT 2024","Sat Jul 13 22:33:32 GMT 2024","85","","GET /todos","","com.bhft.todo.GetTodoTest","shouldLimitList","Should limit list","GET should return only specified number of items if limit is passed"
"passed","Sat Jul 13 22:33:31 GMT 2024","Sat Jul 13 22:33:31 GMT 2024","90","","GET /todos","","com.bhft.todo.GetTodoTest","shouldReturnEmptyList","Should return empty list","GET should return empty list if there are no items"
"passed","Sat Jul 13 22:33:32 GMT 2024","Sat Jul 13 22:33:32 GMT 2024","51","","PUT /todos","","com.bhft.todo.PutTodoTest","shouldReturnErrorOnMissingText","Should not update todo without text",""
"passed","Sat Jul 13 22:33:31 GMT 2024","Sat Jul 13 22:33:31 GMT 2024","132","","GET /todos","","com.bhft.todo.GetTodoTest","shouldReturnErrorOnInvalidLimit","Should return error if limit is invalid","GET should return error if limit is negative"
"skipped","Sat Jul 13 22:33:32 GMT 2024","Sat Jul 13 22:33:32 GMT 2024","0","","PUT /todos","","com.bhft.todo.PutTodoTest","shouldNotUpdateExistingTodoExistingId","Should not update existing todo item to existing id",""
"passed","Sat Jul 13 22:33:32 GMT 2024","Sat Jul 13 22:33:32 GMT 2024","27","","POST /todos","","com.bhft.todo.PostTodoTest","shouldReturnErrorOnNegativeId","Should not create todo with negative id",""
"passed","Sat Jul 13 22:33:32 GMT 2024","Sat Jul 13 22:33:32 GMT 2024","41","","POST /todos","","com.bhft.todo.PostTodoTest","shouldCreateNewTodo","Should create new todo item",""
"passed","Sat Jul 13 22:33:32 GMT 2024","Sat Jul 13 22:33:32 GMT 2024","35","","POST /todos","","com.bhft.todo.PostTodoTest","shouldReturnErrorOnMissingCompleted","Should not create todo without completed",""
"passed","Sat Jul 13 22:33:31 GMT 2024","Sat Jul 13 22:33:31 GMT 2024","84","","GET /todos","","com.bhft.todo.GetTodoTest","shouldReturnErrorOnInvalidOffset","Should return error if offset is invalid","GET should return error if offset is negative"
"passed","Sat Jul 13 22:33:32 GMT 2024","Sat Jul 13 22:33:32 GMT 2024","39","","PUT /todos","","com.bhft.todo.PutTodoTest","shouldReturnErrorOnMissingId","Should not update todo without id",""
"passed","Sat Jul 13 22:33:32 GMT 2024","Sat Jul 13 22:33:32 GMT 2024","48","","PUT /todos","","com.bhft.todo.PutTodoTest","shouldReturnErrorOnNegativeId","Should not update todo with negative id",""
"passed","Sat Jul 13 22:33:32 GMT 2024","Sat Jul 13 22:33:32 GMT 2024","43","","PUT /todos","","com.bhft.todo.PutTodoTest","shouldUpdateExistingTodo","Should update existing todo item",""
"passed","Sat Jul 13 22:33:32 GMT 2024","Sat Jul 13 22:33:32 GMT 2024","83","","GET /todos","","com.bhft.todo.GetTodoTest","shouldGetEmptyListIfLimitZero","Should return empty list if limit=0","GET should return no items if limit is 0"
"passed","Sat Jul 13 22:33:31 GMT 2024","Sat Jul 13 22:33:31 GMT 2024","41","","DELETE /todos","","com.bhft.todo.DeleteTodoTest","shouldGetErrorOnDeleteNonExistingItem","Should get error for non-existing","DELETE should should return error on attempt to delete non-existing item"
"passed","Sat Jul 13 22:33:32 GMT 2024","Sat Jul 13 22:33:32 GMT 2024","38","","PUT /todos","","com.bhft.todo.PutTodoTest","shouldReturnErrorOnMissingCompleted","Should not update todo without completed",""
"passed","Sat Jul 13 22:33:31 GMT 2024","Sat Jul 13 22:33:31 GMT 2024","73","","DELETE /todos","","com.bhft.todo.DeleteTodoTest","shouldNotDeleteTodoIfNotAuthorized","Should not delete item if not authorized","DELETE should forbid deleting an item if authorization failed"
"passed","Sat Jul 13 22:33:32 GMT 2024","Sat Jul 13 22:33:32 GMT 2024","50","","POST /todos","","com.bhft.todo.PostTodoTest","shouldReturnErrorOnMissingText","Should not create todo without text",""
"passed","Sat Jul 13 22:33:31 GMT 2024","Sat Jul 13 22:33:31 GMT 2024","110","","GET /todos","","com.bhft.todo.GetTodoTest","shouldReturnLimitedListFromOffset","Should return limited list from given offset","GET should return only specified amount of items after specified offset"
